id,name,type,source,price,length_m,width_m,tonnage,build_year,engine_hours,engine_power_hp,engine_make,generator_kva,bow_thruster_hp,fuel_tank_liters,num_holds,hull_type,clearance_height_m,cargo_capacity_m3,double_hull,has_bow_thruster,engine_revision_year,certificate_valid,price_per_meter,price_per_ton,vessel_age,days_on_market,is_outlier,canonical_vessel_id
15a7f837-96c0-4173-8b2c-52107373f450,Rumandy,Motorvrachtschip,pcshipbrokers,750000.0,80.0,8.24,1252.0,1975.0,3580.0,530.0,DAF,27.0,320.0,20000.0,,,5.3,1700.0,,True,,True,9375.0,599.04,51.0,122,False,
15abdede-c987-444f-880c-ced64bf43865,Anna,Tankschip,gsk,1550000.0,84.9,9.44,1409.929,1974.0,87858.0,1230.0,Stork Werkspoor,75.0,,,,,6.35,,,True,2018.0,True,18256.77,1099.35,52.0,122,False,
15ba879c-b25d-4cc8-a6d1-276a23ae2bfc,Imperieux,Motorvrachtschip,gsk,1795000.0,104.77,9.54,2143.0,1980.0,19000.0,1250.0,Caterpillar ,25.0,,,2.0,welded,6.0,2800.0,False,True,,True,17132.77,837.61,46.0,122,False,
15f84222-913f-46d7-8b88-8db375f63bc0,Drakar,,gsk,675000.0,79.86,8.22,1008.0,1959.0,,,,,,,,,,,,,,,8452.29,669.64,67.0,87,False,
1620b9a7-ba32-45a6-ad41-a03decf3e62b,Johanna I en Johanna II,Koppelverband,rensendriessen,5495000.0,99.78,11.45,2867.0,2009.0,77987.0,1837.0,Caterpillar,107.0,650.0,60000.0,,,,,,True,,True,55071.16,1916.64,17.0,122,False,
169158aa-dc28-4f0e-9201-0f7897cc0c6d,CDD Prudentia,Motorvrachtschip,gtsschepen,,70.0,7.25,900.0,1958.0,,,,,,,,,,,,,,,,,68.0,122,False,
16dcbb5e-59c8-48be-98e0-dcf9241e6396,Fundament,Motorvrachtschip,pcshipbrokers,895000.0,84.97,8.23,1307.0,1981.0,,,,,,,,,,,,,,,10533.13,684.77,45.0,108,False,
16e23be7-9a0e-4e20-b16c-1f2aae6381ec,Dudaro,Motorvrachtschip,pcshipbrokers,,110.0,11.45,3250.0,2024.0,,,,,,,,,,,,,,,,,2.0,122,False,19790c06-346c-4996-ae62-af95021a9328
170ff440-32c6-44b6-ba6d-1b60e335c2bf,Anne,Beunschip,gtsschepen,1480000.0,79.74,7.45,1226.0,2000.0,51600.0,639.0,Mitsubishi,60.0,320.0,25000.0,1.0,welded,5.6,851.0,True,True,2017.0,True,18560.32,1207.18,26.0,122,False,
177f3e48-fad0-49ab-ab24-2b8b06e520b0,Janny werkschip,Overige,gtsschepen,60000.0,49.94,6.58,111.0,1912.0,31023.0,245.0,Detroit Diesel,27.0,168.0,,1.0,mixed,5.78,,False,True,,True,1201.44,540.54,114.0,24,False,
17fadef4-2b18-4c51-b8be-4db1ec353f4f,Emma sophia,Motorvrachtschip,gsk,,74.0,8.2,1115.19,1948.0,46000.0,1510.5,Mitsubishi,35.0,410.0,,1.0,,6.5,1350.0,,True,2023.0,True,,,78.0,122,False,
189e78eb-6f6d-4cee-a857-2fc289855a95,Europa,Duw/Sleepboot,gsk,400000.0,21.0,7.55,,1948.0,,600.0,Volvo,18.5,,,0.0,,,,False,,,,19047.62,,78.0,122,False,
18e30872-7e2c-43db-8e70-ce677963b3ea,Ranna,Motorvrachtschip,gsk,,110.0,11.07,2500.0,1958.0,23835.0,990.0,Wartsila,35.0,420.0,,1.0,,6.05,2999.0,,True,,,,,68.0,122,False,
191c78c7-ba41-4fd9-8ac4-ad45854ae31a,Edel turquoise,Motorvrachtschip,gsk,375000.0,67.0,8.0,1330.0,,,850.0,Caterpillar,18.0,,,1.0,,,,,True,,,5597.01,281.95,,122,False,
19790c06-346c-4996-ae62-af95021a9328,DUDARO,Motorvrachtschip,rensendriessen,5895000.0,110.0,11.45,,,,,,,,,,,,,,,,,53590.91,,,115,False,
1999210c-f1a4-4fa0-817a-67806f0a5ff5,Mediation,Koppelverband,rensendriessen,,86.0,11.4,2399.0,1988.0,,1800.0,ABC,50.0,600.0,55000.0,,,,,,True,2017.0,,,,38.0,122,False,
19caaf60-a8bb-40bf-9d8a-36ae5b88c042,Festine Vere,Motorvrachtschip,pcshipbrokers,2750000.0,109.74,11.45,3255.0,1998.0,9700.0,1622.0,Caterpillar,65.0,,44000.0,,welded,6.2,3450.0,,,,True,25059.23,844.85,28.0,122,False,bedfca2d-8e6f-484b-aee8-41686e83fb5f
1aebc550-955b-499b-8de5-9701e319f79d,Vega,Motorvrachtschip,gsk,,109.85,9.54,2053.056,1963.0,75000.0,1280.0,caterpillar,40.0,450.0,,3.0,welded,6.2,3300.0,,True,,,,,63.0,122,False,
1ba8e484-6b2c-4b36-96a5-24df5a27062a,Fenny II,Motorvrachtschip,rensendriessen,3400000.0,110.0,11.45,2447.0,2011.0,44692.0,1700.0,Mitsubishi,63.0,650.0,,,,,,,True,,True,30909.09,1389.46,15.0,122,False,
1bf3fb13-d239-4270-adaf-25364a0de9d3,Nivoma,Motorvrachtschip,galle,3925000.0,135.0,11.45,3905.243,2008.0,,,,,,,1.0,,4.29,,,,,,29074.07,1005.06,18.0,2,False,
1bfccfd2-63e5-4498-a697-8e7567e6b1bf,Littoral,Motorvrachtschip,gsk,,108.35,11.4,2969.0,1958.0,49100.0,1520.0,Caterpillar,42.0,300.0,,2.0,,7.3,3900.0,True,True,2024.0,True,,,68.0,122,False,
1c2e4554-45c5-4cd8-8b03-296d93f3a13c,Jesan,Woonschip,gsk,350000.0,31.0,5.05,,1931.0,,142.0,Caterpillar,14.5,,,0.0,,,,False,,,,11290.32,,95.0,122,False,
